SKU,UPC Code,Product Description,Brand,Retail Price,Product URL,Image URL,Category,Subcategory,
249351,,SIIG AC CB-H21711-S1 HDMI to USB-C Port 4K 60Hz Converter Adapter OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249351,https://www.asipartner.com/ocadmin/images/original/249351.jpg,Accessories,Accessories,
249353,,SIIG AC CB-H21811-S1 HDMI to DisplayPort 1.2 4K 60Hz Converter Adapter OPP Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249353,https://www.asipartner.com/ocadmin/images/original/249353.jpg,Accessories,Accessories,
249354,,SIIG AC CE-MT3E11-S1 Dual Pole Arm Multi-Angle Monitor Desk Mount Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249354,https://www.asipartner.com/ocadmin/images/original/249354.jpg,Accessories,Accessories,
249355,,SIIG AC CE-MT3D11-S1 Single Pole Arm Multi-Angle Monitor Desk Mount Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249355,https://www.asipartner.com/ocadmin/images/original/249355.jpg,Accessories,Accessories,
249357,,SIIG RD JU-SA0X11-S1 USB3.2 Gen 2x2 Type-C 20G MVMe SSD Enclosure Brown Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249357,https://www.asipartner.com/ocadmin/images/original/249357.jpg,Removable Drive,Removable Storage Devices Ext,
249995,,SIIG AC CE-MT3C11-S1 LCD TV Monitor Wall Mount - 10 to 27 Color Box,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249995,https://www.asipartner.com/ocadmin/images/original/249995.jpg,Accessories,Accessories,
249997,,SIIG CB JU-CS0311-S1 USB to RS232 Serial Adapter - FTDI 1000mm Opp Bag,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=249997,https://www.asipartner.com/ocadmin/images/original/249997.jpg,Cables,External IDE,
250510,,SIIG AC CE-KV0811-S1 2-Port HDMI2.0 Video Console KVM Switch with USB2.0,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250510,https://www.asipartner.com/ocadmin/images/original/250510.jpg,Accessories,KVM Switch Box,
250511,,SIIG AC CE-KV0911-S1 2PT 4K HDMI2.0 Dual-Head Console KVM Switch with USB2.0,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250511,https://www.asipartner.com/ocadmin/images/original/250511.jpg,Accessories,KVM Switch Box,
250513,,SIIG AC JU-DK0K11-S1 Thunderbolt3 DP1.4 Docking Station w Dual M.2 NVMe SSD&PD,SIIG,,https://www.asipartner.com/partneraccess/Products/Products.aspx?SKU=250513,https://www.asipartner.com/ocadmin/images/original/250513.jpg,Accessories,Notebook Accessories,
